question_id,tag_id
3147058,"2,102,104"
4103572,102
2331422,NA
4184321,NA
3114277,NA
3114285,NA
3116063,NA
5244240,NA
2153418,104
2178782,NA
2751888,NA
3116098,NA
5244250,NA
230309,NA
3726969,NA
4273646,NA
2658943,NA
885199,NA
1004867,"2,102"
5244259,NA
1183603,NA
3147107,"2,102"
2945805,NA
3114314,NA
3114368,NA
2865965,NA
421523,NA
3147134,"2,102"
841005,105
923803,4
4186112,NA
3147137,104
567461,NA
877894,NA
2491044,NA
4169312,104
4433249,NA
4459923,NA
263550,NA
5244293,NA
1425784,NA
964287,NA
970594,NA
4184325,NA
2353798,NA
3147167,NA
3114406,NA
1574330,NA
3863015,NA
3147195,"2,102,104"
3737161,NA
4273651,NA
1956239,NA
3599723,NA
3114424,NA
341101,NA
528600,NA
521918,NA
4184370,NA
4209370,NA
1364230,NA
761887,NA
3313114,NA
2098644,NA
4754087,NA
3115430,NA
2556987,NA
3933681,104
2597209,NA
263724,NA
4184383,NA
525828,4
4251328,NA
3266213,NA
2399488,NA
2597216,NA
2168993,NA
240393,NA
2241135,NA
2597223,NA
2171093,NA
2238234,NA
2239939,NA
263705,NA
2491068,NA
2178810,104
3147304,102
2027472,NA
263735,NA
521988,104
2222907,NA
4319083,NA
266801,NA
549171,NA
4549582,NA
521302,NA
3288667,2
874750,NA
945954,105
5198941,NA
4020497,102
3107593,NA
3125607,2
4829904,NA
4002904,102
3123993,NA
610251,105
3614722,NA
3829897,104
4695550,NA
3921068,NA
4269569,NA
383130,104
4705259,NA
4190572,NA
841914,NA
4982425,NA
263882,NA
4263837,NA
3926960,104
263866,NA
4559470,NA
263868,NA
3115878,NA
264316,NA
1574608,NA
2599680,NA
526034,NA
2597231,NA
263891,NA
4529193,NA
4531570,NA
4130171,104
1836759,NA
5230395,NA
263900,NA
967615,NA
263908,2
5264764,NA
1960066,NA
631396,NA
3147503,"2,104"
3938468,NA
3409659,6
1531322,105
2882757,104
990731,NA
1836802,NA
4570976,NA
2973377,NA
4982542,NA
3409692,6
4325804,NA
3147550,102
788258,NA
2251219,NA
2623278,104
2890795,104
2643803,NA
2716437,NA
2872217,104
3707204,6
2159250,NA
3262054,NA
4273939,NA
3002619,NA
910151,NA
948620,NA
631501,NA
2075205,4
332343,NA
939435,NA
523061,104
3116080,NA
546774,NA
415639,NA
1930393,NA
2885471,NA
2779731,NA
1236681,"2,102,104"
207826,NA
3237106,"2,102"
2891307,NA
2704244,104
3501347,3
2882528,NA
2888802,104
4317057,NA
2779743,2
2224145,NA
2387182,NA
527605,NA
526207,NA
2180830,"2,104"
1160976,"102,104"
1009658,NA
868223,NA
1000559,"2,102"
3116115,NA
3298423,NA
849336,NA
2460637,NA
2597253,NA
2916871,NA
788369,NA
840791,NA
280660,NA
552936,NA
855022,NA
2866689,NA
4269354,NA
3278636,NA
1791137,NA
4843181,NA
2823774,NA
3135178,NA
2099103,4
788394,104
2649270,NA
2245198,NA
1005013,102
359857,NA
2633645,NA
4822084,NA
2136001,NA
2192308,NA
2099122,"4,105"
2822735,NA
2099123,4
3234750,"2,102"
4822091,NA
521623,NA
530889,104
3116143,NA
264119,NA
4982715,NA
264125,NA
4951562,NA
4352038,NA
2171118,NA
526276,NA
3995085,105
4795597,NA
2885575,NA
633924,105
872749,"2,102"
2725044,"1,101"
3135275,NA
2099151,4
4427381,NA
3864036,104
3907840,104
840817,NA
2218418,NA
2099154,4
3135297,NA
2099165,4
264161,NA
534346,NA
788459,NA
3892590,NA
4799501,NA
5029341,NA
4518525,NA
377571,104
2214215,NA
920288,104
2885618,NA
2420948,NA
521391,104
522932,104
3135345,NA
2099189,4
264185,NA
877490,NA
2099200,NA
2176753,NA
376794,104
1329775,NA
867223,NA
3499062,NA
1001039,NA
228250,NA
1548200,NA
2166813,NA
3995455,NA
2099220,NA
2163818,NA
2744354,NA
3277218,NA
1522951,NA
3116197,NA
264241,NA
523932,NA
873706,104
905293,105
4612724,NA
284570,NA
3251433,NA
2885706,NA
1519794,NA
2962449,NA
865725,NA
3262107,NA
1971087,NA
4927545,NA
2326703,NA
2707533,NA
1934306,2
5064663,NA
873243,"2,104"
570952,104
2367397,NA
264282,NA
331872,104
4724511,NA
630722,NA
3404136,NA
3628221,NA
4765858,NA
3806471,NA
788597,NA
284614,"104,105"
523000,NA
1831428,NA
2099369,NA
526508,NA
264366,NA
526514,NA
233662,104
929770,NA
880415,NA
286246,105
2916760,NA
264389,NA
526533,NA
2597259,2
2916767,NA
579599,105
264404,NA
5140949,NA
264418,NA
3151000,NA
3246815,NA
2185905,105
278265,NA
2645284,105
2885869,NA
328457,NA
1837300,NA
1000883,102
838760,"104,105"
868090,102
1775403,NA
1001644,NA
949220,NA
5282056,NA
3558275,NA
